title[fr],description[fr],timings,location.name,location.address,location.city,location.country,image.url,keywords[fr],free,status
"Malou Tual","Je suis artiste peintre et sculprice, j'ai deux collection distinctes de peinture, et réalise des sculptures sur bois et autre matériaux de manière artisanale.","2026-09-19T12:00:00+02:00/2026-09-19T19:00:00+02:00;2026-09-20T12:00:00+02:00/2026-09-20T19:00:00+02:00","8 quai Turenne","Île Feydeau","Nantes","FR","","exposition",1,1
"Mathieu FAURE","Illustrateur et auteur,  je crée des œuvres d'art graphique et j'auto-édite par ailleurs des livres de prose illustrée.","2026-09-19T12:00:00+02:00/2026-09-19T19:00:00+02:00;2026-09-20T12:00:00+02:00/2026-09-20T19:00:00+02:00","8 quai Turenne","Île Feydeau","Nantes","FR","","exposition",1,1
"Francisco Portal","Artiste originaire de Grenade (Espagne) qui vit depuis deux ans à Nantes :)","2026-09-19T12:00:00+02:00/2026-09-19T19:00:00+02:00;2026-09-20T12:00:00+02:00/2026-09-20T19:00:00+02:00","17 rue Kervégan","Île Feydeau","Nantes","FR","","exposition",1,1
"Elsa Saïsset","Je suis artiste graveuse basée à Nantes/Rezé et je pratique la gravure depuis plus de 20 ans. J'aime l'architecture, travailler nos liens avec le Vivant, la mer, la montagne, la forêt...","2026-09-20T12:00:00+02:00/2026-09-20T19:00:00+02:00","10 quai Turenne / 13 rue Kervégan","Île Feydeau","Nantes","FR","","exposition",1,1
"J-Christophe Guary","Collectif de photographes amatrices nantaises et amateurs nantais.","2026-09-19T12:00:00+02:00/2026-09-19T19:00:00+02:00;2026-09-20T12:00:00+02:00/2026-09-20T19:00:00+02:00","16 allée Duguay Trouin","Île Feydeau","Nantes","FR","","exposition",1,1
"Hugo Duras","Artiste auteur","2026-09-20T12:00:00+02:00/2026-09-20T19:00:00+02:00","10 quai Turenne / 13 rue Kervégan","Île Feydeau","Nantes","FR","","exposition",1,1
"Corentine dupin","Je m’appelle Corentine Dupin, actuellement en deuxième année en architecture d’intérieur et en design à camondo. J’aime bricoler et créer des objets en tout genre.","2026-09-19T12:00:00+02:00/2026-09-19T19:00:00+02:00;2026-09-20T12:00:00+02:00/2026-09-20T19:00:00+02:00","32 rue Kervégan","Île Feydeau","Nantes","FR","","exposition",1,1
"Daphné Poblete","Je suis étudiante en deuxième année d’études d’architecture d’intérieure et de design. Il y a 9 ans j’ai développé une passion pour la photographie que je souhaite vous montrer!","2026-09-19T12:00:00+02:00/2026-09-19T19:00:00+02:00;2026-09-20T12:00:00+02:00/2026-09-20T19:00:00+02:00","32 rue Kervégan","Île Feydeau","Nantes","FR","","exposition",1,1
"Pauline Burnol","Bonjour, je m’appelle Pauline Burnol, je suis une amie de Corentine Dupin. Étudiante à l’école Camondo en architecture intérieure et design à Paris. Merci beaucoup, bonne journée.","2026-09-19T12:00:00+02:00/2026-09-19T19:00:00+02:00;2026-09-20T12:00:00+02:00/2026-09-20T19:00:00+02:00","32 rue Kervégan","Île Feydeau","Nantes","FR","","exposition",1,1
"Céline Ranger","Artiste peintre offrant un regard onirique, intime et poétique du portrait humain.","2026-09-19T12:00:00+02:00/2026-09-19T19:00:00+02:00;2026-09-20T12:00:00+02:00/2026-09-20T19:00:00+02:00","8 quai Turenne","Île Feydeau","Nantes","FR","","exposition",1,1
"Yeline JUNG","Actuellement étudiante en architecture d’intérieur et design à Camondo. Je me suis toujours intéresser aux arts plastiques, et depuis mes études je réalise des maquettes.","2026-09-19T12:00:00+02:00/2026-09-19T19:00:00+02:00;2026-09-20T12:00:00+02:00/2026-09-20T19:00:00+02:00","32 rue Kervégan","Île Feydeau","Nantes","FR","","exposition",1,1
"Claire lassonnery","Artiste peintre contemporaine bauloise, je travaille l’abstraction atmosphérique à l’huile, pigments et résine sur toile, autour d’une grammaire simple et répétée : un disque, un horizon, trois bandes.​​​​​​​​​​​​​​​​","2026-09-20T12:00:00+02:00/2026-09-20T19:00:00+02:00","09 quai Turenne / 11 rue Kervégan","Île Feydeau","Nantes","FR","","exposition",1,1
"Christian Evain","Artiste peintre, je travail à l’aérographe sur divers supports, entre portraits et animaux hyperréalistes, personnages cinématographique et autres projets du moment.
Mon travail capte l’essentiel : l’émotion, brute et immédiate.","2026-09-19T12:00:00+02:00/2026-09-19T19:00:00+02:00;2026-09-20T12:00:00+02:00/2026-09-20T19:00:00+02:00","10 quai Turenne / 13 rue Kervégan","Île Feydeau","Nantes","FR","","exposition",1,1
"Semaphore Omega","","2026-09-19T14:00:00+02:00/2026-09-19T14:30:00+02:00","09 quai Turenne / 11 rue Kervégan (Cour Ovale)","Île Feydeau","Nantes","FR","","concert",1,1
"Barrañ","","2026-09-19T14:45:00+02:00/2026-09-19T15:15:00+02:00","09 quai Turenne / 11 rue Kervégan (Cour Ovale)","Île Feydeau","Nantes","FR","","concert",1,1
"Choeur de femmes Nota bene","","2026-09-19T15:30:00+02:00/2026-09-19T16:00:00+02:00","09 quai Turenne / 11 rue Kervégan (Cour Ovale)","Île Feydeau","Nantes","FR","","concert",1,1
"EVA choeur de femmes","","2026-09-19T16:00:00+02:00/2026-09-19T16:45:00+02:00","09 quai Turenne / 11 rue Kervégan (Cour Ovale)","Île Feydeau","Nantes","FR","","concert",1,1
"Les Scarabées Rôdent","","2026-09-19T17:00:00+02:00/2026-09-19T17:30:00+02:00","09 quai Turenne / 11 rue Kervégan (Cour Ovale)","Île Feydeau","Nantes","FR","","concert",1,1
"Chorale Label Diva (Choeur mixte)","","2026-09-19T17:45:00+02:00/2026-09-19T18:15:00+02:00","09 quai Turenne / 11 rue Kervégan (Cour Ovale)","Île Feydeau","Nantes","FR","","concert",1,1
